Q0085 YPL078c
Q0275 YGL187c
YAL001c YER148w
YAL001c YGR246c
YAL001c YNL039w
YAL002w YGR078c
YAL002w YJR075w
YAL002w YLR039c
YAL002w YLR262c
YAL002w YLR418c
YAL002w YML094w
YAL003w YBR118w
YAL005c YAL040c
YAL005c YJL061w
YAL005c YLR200w
YAL005c YLR310c
YAL005c YNL064c
YAL005c YNL189w
YAL009w YHR004c
YAL011w YER081w
YAL011w YGR078c
YAL011w YJL168c
YAL011w YLR262c
YAL011w YLR418c
YAL011w YML094w
YAL011w YMR263w
YAL011w YNL153c
YAL012w YJR091c
YAL013w YBR171w
YAL013w YCR009c
YAL013w YCR033w
YAL013w YDR146c
YAL013w YDR181c
YAL013w YDR388w
YAL013w YER016w
YAL013w YFR010w
YAL013w YGL161c
YAL013w YGL167c
YAL013w YGL194c
YAL013w YGR181w
YAL013w YGR182c
YAL013w YGR200c
YAL013w YHR060w
YAL013w YHR178w
YAL013w YJR140c
YAL013w YKR029c
YAL013w YLR111w
YAL013w YLR268w
YAL013w YLR418c
YAL013w YML047c
YAL013w YNL250w
YAL013w YOL012c
YAL013w YOR089c
YAL013w YOR304w
YAL013w YPL101w
YAL013w YPR023c
YAL014c YOR036w
YAL016w YNL127w
YAL019w YLR039c
YAL021c YGL178w
YAL021c YJR060w
YAL021c YML032c
YAL021c YNR052c
YAL023c YDL095w
YAL023c YOR002w
YAL023c YOR321w
YAL024c YAR019c
YAL024c YCL016c
YAL024c YKR054c
YAL024c YLR103c
YAL024c YLR229c
YAL024c YML064c
YAL024c YNL098c
YAL024c YPR141c
YAL026c YGR078c
YAL026c YKL079w
YAL026c YKL190w
YAL026c YLR039c
YAL026c YML094w
YAL026c YNL322c
YAL026c YPL048w
YAL026c YPL146c
YAL026c YPL155c
YAL028w YLR233c
YAL030w YGR009c
YAL030w YOR327c
YAL030w YPL232w
YAL032c YDR416w
YAL032c YNL189w
YAL034w-a YJR091c
YAL035w YDL220c
YAL036c YGR250c
YAL038w YOR226c
YAL038w YOR347c
YAL040c YDL047w
YAL040c YDL132w
YAL040c YER167w
YAL040c YFR040w
YAL040c YJL098w
YAL040c YJL157c
YAL040c YLR079w
YAL040c YMR199w
YAL040c YOL145c
YAL041w YER155c
YAL041w YGL233w
YAL041w YGR152c
YAL041w YHL007c
YAL041w YIL079c
YAL041w YJL157c
YAL041w YKL080w
YAL041w YLR206w
YAL042w YDL239c
YAL043c YDR301w
YAL043c YDR311w
YAL043c YMR182c
YAL043c YPR107c
YAL047c YHR172w
YAL047c YJL113w
YAL047c YJL114w
YAL047c YMR047c
YAL047c YNL126w
YAL053w YNL322c
YAL054c YNL189w
YAL055w YPR159w
YAL056c-a YNL322c
YAL056w YER020w
YAL058w YKL194c
YAL058w YNL171c
YAL058w YNR036c
YAL058w YOR236w
YAL060w YER081w
YAL062w YLR267w
YAL064w-b YPR126c
YAL067c YGR055w
YAR002w YCL061c
YAR002w YLR418c
YAR002w YMR078c
YAR002w YPR135w
YAR003w YBL026w
YAR003w YDR363w
YAR008w YBL051c
YAR008w YJR091c
YAR008w YLR105c
YAR008w YMR059w
YAR009c YHL002w
YAR009c YNL118c
YAR014c YDR195w
YAR014c YER158c
YAR014c YGR078c
YAR014c YIL045w
YAR014c YLR262c
YAR014c YMR071c
YAR014c YNL322c
YAR014c YNL333w
YAR014c YOL154w
YAR019c YGR092w
YAR019c YGR152c
YAR019c YHR152w
YAR019c YIL106w
YAR019c YLR079w
YAR019c YML064c
YAR019c YNL098c
YAR019c YOR101w
YAR031w YBR217w
YAR033w YGL051w
YAR035w YGR069w
YAR035w YLR447c
YAR047c YJR063w
YAR061w YMR182c
YAR064w YGL070c
YAR071w YLR453c
YBL001c YER067w
YBL001c YPL068c
YBL007c YBR023c
YBL007c YDR388w
YBL007c YEL003w
YBL007c YHR007c
YBL007c YHR016c
YBL007c YIR006c
YBL007c YKR030w
YBL007c YLR064w
YBL007c YLR200w
YBL007c YLR330w
YBL007c YNL094w
YBL007c YNL153c
YBL007c YNL238w
YBL007c YNL271c
YBL007c YOR181w
YBL007c YPR135w
YBL008w YDR052c
YBL008w YLR103c
YBL010c YKR022c
YBL014c YHL004w
YBL014c YML043c
YBL014c YOR158w
YBL016w YDR480w
YBL016w YIL169c
YBL016w YJL157c
YBL016w YLR313c
YBL021c YKL109w
YBL021c YLR200w
YBL022c YDR086c
YBL023c YIL150c
YBL023c YLR103c
YBL023c YOR196c
YBL024w YEL003w
YBL024w YML094w
YBL024w YNL153c
YBL025w YIL141w
YBL025w YMR270c
YBL026w YCR020c-a
YBL026w YDL160c
YBL026w YDL175c
YBL026w YDR166c
YBL026w YEL015w
YBL026w YER025w
YBL026w YGL173c
YBL026w YGL185c
YBL026w YGR077c
YBL026w YIL048w
YBL026w YJR022w
YBL026w YLR275w
YBL026w YMR066w
YBL026w YMR207c
YBL026w YOL102c
YBL026w YOR017w
YBL026w YOR191w
YBL026w YPL042c
YBL026w YPR184w
YBL033c YNL105w
YBL034c YFL037w
YBL037w YNL118c
YBL038w YGR033c
YBL040c YCR067c
YBL040c YDR077w
YBL042c YBR021w
YBL042c YER021w
YBL042c YJL062w
YBL044w YJL159w
YBL045c YLR090w
YBL045c YMR047c
YBL045c YNL118c
YBL047c YNL298w
YBL050w YBR080c
YBL050w YDR468c
YBL050w YGR009c
YBL050w YHL031c
YBL050w YOR106w
YBL051c YEL003w
YBL051c YML094w
YBL051c YNL271c
YBL053w YEL069c
YBL053w YPR165w
YBL056w YDR071c
YBL061c YBL067c
YBL061c YBR023c
YBL061c YBR234c
YBL061c YDL029w
YBL061c YDR129c
YBL061c YDR207c
YBL061c YDR388w
YBL061c YEL015w
YBL061c YEL031w
YBL061c YER111c
YBL061c YGL084c
YBL061c YGR229c
YBL061c YHR030c
YBL061c YIL007c
YBL061c YJR073c
YBL061c YKL176c
YBL061c YLL043w
YBL061c YLR338w
YBL061c YMR089c
YBL061c YNL233w
YBL061c YNR051c
YBL061c YPL193w
YBL062w YDL029w
YBL062w YNL271c
YBL062w YOR326w
YBL063w YIL061c
YBL063w YPR141c
YBL066c YML091c
YBL072c YMR047c
YBL078c YNL223w
YBL078c YNR007c
YBL078c YOL083w
YBL081w YDL167c
YBL082c YKL210w
YBL083c YNL322c
YBL084c YGL240w
YBL085w YBR200w
YBL085w YER114c
YBL085w YER124c
YBL085w YER158c
YBL085w YHL007c
YBL085w YNL078w
YBL086c YJR040w
YBL088c YBR136w
YBL089w YLR325c
YBL092w YDR398w
YBL093c YKL129c
YBL093c YMR109w
YBL093c YOR014w
YBL094c YJR091c
YBL095w YLR453c
YBL097w YLR373c
YBL098w YDL226c
YBL101c YLR330w
YBL102w YFL058w
YBL102w YLR026c
YBL102w YLR039c
YBL102w YOR036w
YBL104c YJL062w
YBL105c YDL055c
YBL105c YDL160c
YBL105c YDR436w
YBL105c YER165w
YBL105c YGL178w
YBL105c YGR238c
YBL105c YHR206w
YBL105c YKL203c
YBL105c YLR305c
YBL105c YML109w
YBL105c YMR307w
YBL105c YNR052c
YBL105c YPL084w
YBL105c YPR159w
YBL106c YGR009c
YBL106c YGR172c
YBL106c YHR023w
YBL106c YHR161c
YBL106c YIL118w
YBL106c YLR423c
YBL107c YML116w
YBR003w YER022w
YBR003w YJR022w
YBR006w YDR382w
YBR008c YMR047c
YBR009c YGR116w
YBR010w YGR116w
YBR012c YPL221w
YBR012w-b YLR157c-a
YBR013c YGR292w
YBR014c YBR101c
YBR014c YBR288c
YBR014c YPR086w
YBR015c YHR030c
YBR015c YJL095w
YBR017c YDR192c
YBR017c YGL122c
YBR017c YGL172w
YBR017c YGR119c
YBR017c YNR069c
YBR017c YOR098c
YBR019c YHL019c
YBR019c YOL150c
YBR021w YEL021w
YBR023c YBR057c
YBR023c YBR234c
YBR023c YDL032w
YBR023c YDL033c
YBR023c YDL223c
YBR023c YDR129c
YBR023c YDR245w
YBR023c YEL044w
YBR023c YGL084c
YBR023c YGL240w
YBR023c YGR135w
YBR023c YJL095w
YBR023c YKR020w
YBR023c YLR111w
YBR023c YLR337c
YBR023c YLR342w
YBR023c YML115c
YBR023c YMR089c
YBR023c YMR116c
YBR023c YMR307w
YBR023c YNL271c
YBR023c YNL322c
YBR023c YPL055c
YBR023c YPL069c
YBR024w YLL009c
YBR024w YPR119w
YBR025c YNL207w
YBR027c YKL130c
YBR027c YOR046c
YBR028c YLR447c
YBR033w YDL049c
YBR034c YDR249c
YBR035c YNL189w
YBR036c YDL015c
YBR036c YDR208w
YBR036c YER093c
YBR036c YLR103c
YBR036c YNL330c
YBR038w YCL022c
YBR039w YPR024w
YBR040w YCL040w
YBR041w YGR229c
YBR044c YKL141w
YBR045c YDR103w
YBR045c YER133w
YBR045c YIL045w
YBR045c YLR263w
YBR045c YOR178c
YBR046c YDR103w
YBR048w YDR025w
YBR050c YER133w
YBR054w YDR190c
YBR054w YJR091c
YBR054w YOR040w
YBR055c YDL064w
YBR055c YDR028c
YBR056w YFR007w
YBR057c YCL055w
YBR057c YGR166w
YBR057c YIL144w
YBR057c YMR078c
YBR058c YOL156w
YBR059c YGL213c
YBR059c YGR199w
YBR059c YJL039c
YBR059c YLR085c
YBR059c YML014w
YBR060c YMR001c
YBR060c YNL261w
YBR061c YDR461w
YBR061c YGR195w
YBR061c YHL011c
YBR061c YHR008c
YBR061c YHR059w
YBR061c YJL166w
YBR066c YDR477w
YBR067c YNL237w
YBR067c YPR138c
YBR068c YJL129c
YBR068c YOR133w
YBR069c YOL109w
YBR074w YER081w
YBR077c YKR007w
YBR078w YHR030c
YBR079c YNL243w
YBR079c YOR361c
YBR081c YDR145w
YBR081c YDR176w
YBR081c YDR392w
YBR081c YLR055c
YBR081c YMR236w
YBR081c YOL051w
YBR081c YOL148c
YBR081c YPL031c
YBR082c YGR229c
YBR082c YLR342w
YBR083w YHR084w
YBR087w YJR068w
YBR087w YLR390w
YBR088c YOR217w
YBR089w YGL070c
YBR091c YHR005c-a
YBR091c YKL002w
YBR093c YCL061c
YBR093c YKR106w
YBR094w YDL102w
YBR094w YGL127c
YBR094w YJL115w
YBR094w YJR043c
YBR094w YLR264w
YBR094w YML028w
YBR094w YNL153c
YBR095c YER016w
YBR095c YLR418c
YBR097w YLR240w
YBR098w YDR363w
YBR098w YJR057w
YBR098w YLR235c
YBR098w YOL006c
YBR098w YPL024w
YBR099c YER133w
YBR101c YMR092c
YBR101c YMR173w
YBR101c YOL011w
YBR102c YDR166c
YBR102c YLR423c
YBR103w YEL003w
YBR103w YGL178w
YBR103w YGR239c
YBR103w YIL112w
YBR103w YPL181w
YBR105c YMR047c
YBR107c YDR254w
YBR107c YEL061c
YBR107c YER016w
YBR107c YNL153c
YBR107c YPR135w
YBR107c YPR141c
YBR108w YCR009c
YBR109c YCR065w
YBR109c YGL043w
YBR109c YHR030c
YBR109c YLR433c
YBR109c YMR109w
YBR109c YOR326w
YBR112c YCR084c
YBR112c YDL194w
YBR112c YOR140w
YBR113w YDL043c
YBR114w YGR078c
YBR114w YJR052w
YBR119w YDR110w
YBR119w YLR223c
YBR119w YLR449w
YBR120c YLR200w
YBR121c YLR342w
YBR122c YEL061c
YBR122c YMR078c
YBR123c YOR110w
YBR124w YLR288c
YBR126c YDL022w
YBR126c YDR074w
YBR126c YDR388w
YBR127c YOL018c
YBR128c YPL120w
YBR130c YHR107c
YBR131w YDL043c
YBR133c YKL101w
YBR133c YPL016w
YBR134w YOR128c
YBR135w YBR252w
YBR135w YDL155w
